,n_train,polykernel_degree,n_test,time,algo,tr_regret,tst_regret,reweight,mixture_weight
42,1000,2,1000,4.95732569694519,LS,7.53150200172489,7.376562160637917,,
43,1000,2,1000,10.058620929718018,reweight_LS,7.68775866401834,7.473863619384641,1.0,0.2
44,1000,2,1000,10.301526546478271,reweight_LS,7.731419161158355,7.6060903971781135,1.0,0.4
45,1000,2,1000,10.08275055885315,reweight_LS,8.095953325256186,8.048228377822463,1.0,0.6
46,1000,2,1000,9.920877695083618,reweight_LS,12.248944409903084,12.034055131672245,1.0,0.8
47,1000,2,1000,293.2866072654724,SPO,6.9816189953436885,6.902056899786973,,
0,2000,2,1000,7.355281114578247,LS,6.847352276693982,7.090362162521916,,
1,2000,2,1000,14.742339372634888,reweight_LS,7.066933836116217,7.221454145377184,1.0,0.2
2,2000,2,1000,14.764834880828857,reweight_LS,7.082780022063594,7.284408622202115,1.0,0.4
3,2000,2,1000,14.639225959777832,reweight_LS,8.295590849788562,8.439674804419175,1.0,0.6
4,2000,2,1000,14.774089097976685,reweight_LS,10.831440604063058,11.39814259726736,1.0,0.8
5,2000,2,1000,549.4130680561066,SPO,6.463374424869673,6.68777227767725,,
6,2000,2,1000,7.351074934005737,LS,7.177786886354414,7.587468795371245,,
7,2000,2,1000,14.719265937805176,reweight_LS,7.316175240806759,7.881236987872129,1.0,0.2
8,2000,2,1000,14.596597671508789,reweight_LS,7.3495632791067615,7.906958265151423,1.0,0.4
9,2000,2,1000,14.569546699523926,reweight_LS,8.305646404684106,8.694346479010594,1.0,0.6
10,2000,2,1000,14.618331670761108,reweight_LS,12.323529985368863,12.855091755737506,1.0,0.8
11,2000,2,1000,550.8122429847717,SPO,6.890065934430196,7.271579082843556,,
12,2000,2,1000,7.463892936706543,LS,7.071122250600425,7.319832118504419,,
13,2000,2,1000,14.928170919418335,reweight_LS,7.288940607224944,7.421111312232168,1.0,0.2
14,2000,2,1000,14.85573697090149,reweight_LS,7.252227335111149,7.42975423762384,1.0,0.4
15,2000,2,1000,14.810466766357422,reweight_LS,9.03201575940075,8.724423000255499,1.0,0.6
16,2000,2,1000,14.903806924819946,reweight_LS,13.211614740905013,13.680655292898104,1.0,0.8
17,2000,2,1000,559.996839761734,SPO,6.696027132587723,6.892521316346538,,
18,2000,2,1000,7.519953966140747,LS,6.969835002120818,7.069405765751673,,
19,2000,2,1000,14.961222887039185,reweight_LS,7.131435483827999,7.373663655012493,1.0,0.2
20,2000,2,1000,14.910489082336426,reweight_LS,7.181787148458307,7.415945667182928,1.0,0.4
